iata,airport,city,state,country,lat,long
YNM,Matagami Airport,,,,49.76169967651367,-77.80280303955078
YOC,Old Crow Airport,,,,67.57060241699219,-139.83900451660156
YOD,CFB Cold Lake,,,,54.404998779296875,-110.27899932861328
YOJ,High Level Airport,,,,58.62139892578125,-117.16500091552734
YOW,Ottawa Macdonald-Cartier International Airport,,,,45.3224983215332,-75.66919708251953
YPA,Prince Albert Glass Field,,,,53.214199066199996,-105.672996521
YPE,Peace River Airport,,,,56.226898,-117.446999
YPG,Southport Airport,,,,49.903099,-98.273817
\N,Pitt Meadows Airport,,,,49.21609878540039,-122.70999908447266
YPL,Pickle Lake Airport,,,,51.4463996887207,-90.21420288085938
YPN,Port Menier Airport,,,,49.83639907836914,-64.2885971069336
YPQ,Peterborough Airport,,,,44.22999954223633,-78.36329650878906
YPR,Prince Rupert Airport,,,,54.286098480199996,-130.445007324
YPY,Fort Chipewyan Airport,,,,58.7672004699707,-111.11699676513672
YQA,Muskoka Airport,,,,44.974700927734375,-79.30329895019531
YQB,Quebec Jean Lesage International Airport,,,,46.7911,-71.393303
YQF,Red Deer Regional Airport,,,,52.18220138549805,-113.89399719238281
YQG,Windsor Airport,,,,42.27560043334961,-82.95559692382812
YQH,Watson Lake Airport,,,,60.11640167236328,-128.82200622558594
YQK,Kenora Airport,,,,49.788299560546875,-94.36309814453125
YQL,Lethbridge County Airport,,,,49.6302986145,-112.800003052
YQM,Greater Moncton International Airport,,,,46.11220169067383,-64.67859649658203
YQQ,Comox Airport,,,,49.71080017089844,-124.88700103759766
YQR,Regina International Airport,,,,50.43190002441406,-104.66600036621094
YQT,Thunder Bay Airport,,,,48.37189865112305,-89.32389831542969
YQU,Grande Prairie Airport,,,,55.1796989441,-118.885002136
YQV,Yorkton Municipal Airport,,,,51.26470184326172,-102.46199798583984
YQW,North Battleford Airport,,,,52.76919937133789,-108.24400329589844
YQX,Gander International Airport,,,,48.9369010925293,-54.56809997558594
YQY,Sydney / J.A. Douglas McCurdy Airport,,,,46.1614,-60.047798
YQZ,Quesnel Airport,,,,53.026100158691406,-122.51000213623047
YRB,Resolute Bay Airport,,,,74.7169036865,-94.9693984985
YRI,Rivière-du-Loup Airport,,,,47.764400482177734,-69.58470153808594
YRJ,Roberval Airport,,,,48.52000045776367,-72.2656021118164
YRM,Rocky Mountain House Airport,,,,52.4296989441,-114.903999329
YRT,Rankin Inlet Airport,,,,62.8114013672,-92.1157989502
YSB,Sudbury Airport,,,,46.625,-80.79889678955078
YSC,Sherbrooke Airport,,,,45.4385986328125,-71.69139862060547
YSJ,Saint John Airport,,,,45.31610107421875,-65.89029693603516
YSM,Fort Smith Airport,,,,60.020301818847656,-111.96199798583984
YSR,Nanisivik Airport,,,,72.982201,-84.613602
